Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
15,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,15.544,31.735,0.794,15.094030,0.007501,11.917716,12.054472
16,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,16.768,55.897,0.633,16.329605,0.007365,13.259685,13.356439
17,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,13.243,39.972,1.657,12.775484,0.007158,7.145893,9.953826
18,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,13.385,31.823,1.043,12.956654,0.006478,9.534116,10.063476
19,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,10.769,29.979,0.453,10.105490,0.006487,7.097440,7.189154
20,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,19.51,50.97,2.758,19.025824,0.010560,10.461041,15.981985
21,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,12.252,29.923,0.564,11.800499,0.025558,8.205938,8.499889
22,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,10.75,30.316,0.589,10.310699,0.006792,7.373051,7.469536
23,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,10.589,30.566,0.381,10.156285,0.006370,7.185598,7.278476
24,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,16.804,50.739,5.859,16.359087,0.007190,6.956514,13.524686
25,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,17.443,54.625,3.137,16.986853,0.007139,13.742232,14.008900
26,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,12.301,30.801,0.442,11.828944,0.016513,8.645437,8.814657
27,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,10.432,30.292,0.617,9.990599,0.006512,7.044761,7.146312
28,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,10.518,30.649,0.664,10.055449,0.006592,7.113220,7.196724
29,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,14.047,43.491,2.054,13.586611,0.006374,10.542854,10.641710
30,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,17.033,56.622,0.623,16.545549,0.007073,13.446911,13.577739
Uptime depois da execução:  18:10:12 up  3:56, 14 users,  load average: 4.06, 5.07, 4.97
Média,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,15.0603,38.584,1.33317,14.6011,0.00998057,10.6151,11.6184
Uptime antes da execução:  18:10:12 up  3:56, 14 users,  load average: 4.06, 5.07, 4.97
1,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,13.767,37.255,2.777,13.316979,0.006365,5.791944,10.432356
2,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.531,44.311,2.972,14.081241,0.007136,5.750817,11.234034
3,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.566,47.04,0.627,14.125552,0.007130,11.040543,11.172637
4,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.781,45.47,2.898,14.323895,0.006405,11.245428,11.350760
5,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.998,48.642,0.734,14.559094,0.006373,11.480649,11.598423
6,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,12.711,37.861,0.962,12.252950,0.007060,8.502299,9.316059
7,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,21.1,32.844,0.633,20.652522,0.007097,16.147025,16.649820
8,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,22.225,25.1,0.412,21.696360,0.026889,17.726388,18.287254
9,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,28.685,25.267,0.342,28.202765,0.018663,24.075560,24.519407
10,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,28.01,25.568,0.321,27.509456,0.013779,23.251533,23.466617
11,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,20.553,25.11,0.329,20.003149,0.044073,15.394536,15.767730
12,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,25.194,25.22,0.362,24.553069,0.025895,20.617190,21.055648
13,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,19.019,25.483,0.265,18.528590,0.028956,14.949348,15.226711
14,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,11.455,33.74,1.566,11.014832,0.007219,7.946325,8.075882
15,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.658,45.592,1.986,14.196122,0.007523,11.134209,11.250021
16,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.976,47.986,0.591,14.526574,0.006403,11.449574,11.591446
17,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.636,44.896,3.111,14.185942,0.007092,5.895643,11.347956
18,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,13.121,39.606,2.228,12.650499,0.006362,9.567507,9.689205
19,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.8,45.549,2.939,14.350807,0.007349,11.260512,11.364600
20,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.816,48.146,0.538,14.367920,0.006836,11.282771,11.409295
21,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.568,47.049,0.573,14.111066,0.007029,11.030433,11.148504
22,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.693,44.972,2.808,14.250930,0.006186,11.150431,11.300103
23,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.659,39.89,3.278,14.199114,0.006489,5.854296,11.369782
24,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.784,47.803,0.648,14.332740,0.006220,11.272176,11.378338
25,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.755,47.656,0.64,14.308658,0.006398,11.201872,11.331044
26,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.692,47.572,0.605,14.248935,0.007071,11.171877,11.298634
27,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.862,47.8,0.628,14.416310,0.006301,11.222044,11.370377
28,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.934,47.757,0.625,14.479761,0.006051,11.287291,11.506397
29,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.558,42.228,5.345,14.108717,0.007012,5.832861,11.272196
30,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,14.705,45.209,2.865,14.253350,0.007076,11.165341,11.294644
Uptime depois da execução:  18:18:33 up  4:04, 14 users,  load average: 3.46, 5.64, 5.61
Média,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,16.5271,40.2877,1.48693,16.0603,0.0106813,11.8566,12.9359
