Executando com configuração: --host fct-deei-linux:2 e np=2
Execução 17: Configuração=--host fct-deei-linux:4, np=4, real=0.375, user=0.09, sys=0.128, total=0.269270, bcast_scatterv=0.000022, computacao=0.000000, gatherv=0.002369
Execução 18: Configuração=--host fct-deei-linux:4, np=4, real=0.411, user=0.103, sys=0.07, total=0.285015, bcast_scatterv=0.000022, computacao=0.000000, gatherv=0.005975
Execução 19: Configuração=--host fct-deei-linux:4, np=4, real=0.403, user=0.11, sys=0.055, total=0.266203, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.000683
Execução 20: Configuração=--host fct-deei-linux:4, np=4, real=0.405, user=0.125, sys=0.104, total=0.276557, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.004355
Execução 21: Configuração=--host fct-deei-linux:4, np=4, real=0.366, user=0.066, sys=0.11, total=0.275596, bcast_scatterv=0.000018, computacao=0.000000, gatherv=0.006336
Execução 22: Configuração=--host fct-deei-linux:4, np=4, real=0.441, user=0.089, sys=0.097, total=0.302337, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.008179
Execução 23: Configuração=--host fct-deei-linux:4, np=4, real=0.445, user=0.096, sys=0.106, total=0.306225, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.008389
Execução 24: Configuração=--host fct-deei-linux:4, np=4, real=0.376, user=0.119, sys=0.104, total=0.265386, bcast_scatterv=0.000027, computacao=0.000000, gatherv=0.003999
Execução 25: Configuração=--host fct-deei-linux:4, np=4, real=0.423, user=0.096, sys=0.075, total=0.273175, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.000647
Execução 26: Configuração=--host fct-deei-linux:4, np=4, real=0.445, user=0.082, sys=0.104, total=0.304340, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.006099
Execução 27: Configuração=--host fct-deei-linux:4, np=4, real=0.413, user=0.084, sys=0.125, total=0.286541, bcast_scatterv=0.000036, computacao=0.000000, gatherv=0.000516
Execução 28: Configuração=--host fct-deei-linux:4, np=4, real=0.397, user=0.092, sys=0.087, total=0.280620, bcast_scatterv=0.000018, computacao=0.000000, gatherv=0.005620
Execução 29: Configuração=--host fct-deei-linux:4, np=4, real=0.436, user=0.081, sys=0.09, total=0.287334, bcast_scatterv=0.000022, computacao=0.000001, gatherv=0.006100
Execução 30: Configuração=--host fct-deei-linux:4, np=4, real=0.44, user=0.098, sys=0.085, total=0.285307, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.000296
Executando com configuração: --host fct-deei-linux:4 --host fct-deei-aval:1 e np=5
Execução 1: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.799, user=0.279, sys=0.246, total=2.295568, bcast_scatterv=0.015376, computacao=0.000000, gatherv=0.000250
Execução 2: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.826, user=0.279, sys=0.259, total=2.312092, bcast_scatterv=0.022100, computacao=0.000000, gatherv=0.000590
Execução 3: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.804, user=0.27, sys=0.278, total=2.324315, bcast_scatterv=0.033005, computacao=0.000000, gatherv=0.000342
Execução 4: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.809, user=0.227, sys=0.247, total=2.311735, bcast_scatterv=0.031035, computacao=0.000000, gatherv=0.000649
Execução 5: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.782, user=0.238, sys=0.257, total=2.317287, bcast_scatterv=0.022383, computacao=0.000000, gatherv=0.000930
Execução 6: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.834, user=0.275, sys=0.218, total=2.304283, bcast_scatterv=0.022581, computacao=0.000000, gatherv=0.000401
Execução 7: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.804, user=0.278, sys=0.238, total=2.336326, bcast_scatterv=0.027881, computacao=0.000000, gatherv=0.016155
